season,match_id,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,home_win_prob,draw_prob,away_win_prob,result
2018,10795,2018-12-04,Amiens,Monaco,0,2,0.710707,1.77175,0.0806,0.2061,0.7133,A
2018,10800,2018-12-04,Nice,Angers,0,0,2.32239,0.25499,0.9104,0.0753,0.0143,D
2018,10794,2018-12-05,Lyon,Rennes,0,2,1.40536,1.54472,0.31,0.2944,0.3956,A
2018,10796,2018-12-05,Bordeaux,Saint-Etienne,3,2,2.49424,1.93225,0.5122,0.2795,0.2083,H
2018,10797,2018-12-05,Caen,Nimes,1,2,0.783167,2.56928,0.0618,0.1381,0.8001,A
2018,10798,2018-12-05,Dijon,Guingamp,2,1,0.258741,0.901172,0.1008,0.3808,0.5184,H
2018,10799,2018-12-05,Nantes,Marseille,3,2,1.47772,1.09463,0.4382,0.352,0.2098,H
2018,10801,2018-12-05,Reims,Toulouse,0,1,1.55092,1.2521,0.4069,0.3158,0.2773,A
2018,10802,2018-12-05,Strasbourg,Paris Saint Germain,1,1,0.98684,2.3422,0.0722,0.202,0.7258,D
2018,10804,2018-12-08,Guingamp,Amiens,1,2,1.12624,1.57965,0.2245,0.2663,0.5092,A
2018,10809,2018-12-08,Rennes,Dijon,2,0,2.99488,0.494817,0.9174,0.0658,0.0168,H
2018,10805,2018-12-09,Lille,Reims,1,1,1.68774,1.18633,0.5116,0.2995,0.1889,D
2018,10811,2018-12-09,Strasbourg,Caen,2,2,1.20496,0.272896,0.6395,0.2866,0.0739,D
2018,10822,2018-12-15,Reims,Strasbourg,2,1,0.766134,0.491204,0.3873,0.411,0.2017,H
2018,10817,2018-12-16,Lyon,Monaco,3,0,2.3216,0.0994342,0.9364,0.0578,0.0058,H
2018,10820,2018-12-16,Nice,Saint-Etienne,1,1,2.24971,1.54512,0.5507,0.2313,0.218,D
2018,10821,2018-12-16,Nimes,Lille,2,3,1.21197,0.799215,0.4517,0.3336,0.2147,A
2018,10814,2018-12-18,Caen,Toulouse,2,1,1.44798,1.38531,0.3405,0.3512,0.3083,H
2018,10823,2018-12-22,Angers,Marseille,1,1,2.20776,1.6101,0.5284,0.2562,0.2154,D
2018,10825,2018-12-22,Lille,Toulouse,1,2,1.21833,1.66998,0.2186,0.2665,0.5149,A
2018,10826,2018-12-22,Monaco,Guingamp,0,2,0.516533,1.05145,0.1431,0.3369,0.52,A
2018,10827,2018-12-22,Montpellier,Lyon,1,1,0.915284,0.406306,0.5094,0.3496,0.141,D
2018,10828,2018-12-22,Paris Saint Germain,Nantes,1,0,2.39798,0.468203,0.8694,0.0985,0.0321,H
2018,10829,2018-12-22,Reims,Caen,2,2,1.74452,0.412006,0.7488,0.1928,0.0584,D
2018,10830,2018-12-22,Rennes,Nimes,4,0,3.07216,0.716404,0.9105,0.0669,0.0226,H
2018,10831,2018-12-22,Saint-Etienne,Dijon,3,0,2.19805,0.759878,0.7457,0.1817,0.0726,H
2018,10832,2018-12-22,Strasbourg,Nice,2,0,2.16724,1.56494,0.5299,0.2664,0.2037,H
2018,10824,2018-12-23,Bordeaux,Amiens,1,1,0.477339,0.348658,0.2961,0.506,0.1979,D
2018,10813,2019-01-08,Amiens,Angers,0,0,1.67735,0.225282,0.7778,0.1854,0.0368,D
2018,10819,2019-01-08,Nantes,Montpellier,2,0,1.65677,0.954317,0.5567,0.2562,0.1871,H
2018,10834,2019-01-11,Lyon,Reims,1,1,1.17326,1.01755,0.3779,0.3131,0.309,D
2018,10840,2019-01-11,Caen,Lille,1,3,1.25049,3.05098,0.0444,0.1264,0.8292,A
2018,10833,2019-01-12,Guingamp,Saint-Etienne,0,1,0.562421,0.565001,0.276,0.4308,0.2932,A
2018,10836,2019-01-12,Nice,Bordeaux,1,0,1.63508,1.62458,0.3586,0.2808,0.3606,H
2018,10839,2019-01-12,Amiens,Paris Saint Germain,0,3,0.280069,2.45409,0.0165,0.0736,0.9099,A
2018,10835,2019-01-13,Nantes,Rennes,0,1,1.38738,0.282378,0.6878,0.2454,0.0668,A
2018,10838,2019-01-13,Toulouse,Strasbourg,1,2,1.49547,1.59408,0.3368,0.2807,0.3825,A
2018,10841,2019-01-13,Dijon,Montpellier,1,1,0.676429,1.54415,0.1218,0.2417,0.6365,D
2018,10842,2019-01-13,Marseille,Monaco,1,1,1.56381,0.845128,0.5567,0.2947,0.1486,D
2018,10803,2019-01-15,Angers,Bordeaux,1,2,2.30506,0.399046,0.8832,0.093,0.0238,A
2018,10806,2019-01-16,Monaco,Nice,1,1,0.989003,1.25386,0.2332,0.3299,0.4369,D
2018,10807,2019-01-16,Nimes,Nantes,1,0,0.79587,0.551147,0.3921,0.3849,0.223,H
2018,10810,2019-01-16,Saint-Etienne,Marseille,2,1,1.91237,1.15355,0.5869,0.2493,0.1638,H
2018,10812,2019-01-16,Toulouse,Lyon,2,2,0.912447,1.64178,0.1723,0.2893,0.5384,D
2018,10816,2019-01-16,Guingamp,Rennes,2,1,1.13952,1.41986,0.27,0.3028,0.4272,H
2018,10851,2019-01-18,Lille,Amiens,2,1,2.42512,0.372963,0.8946,0.092,0.0134,H
2018,10844,2019-01-19,Paris Saint Germain,Guingamp,9,0,5.85948,0.0286998,0.9997,0.0003,0.0,H
2018,10845,2019-01-19,Reims,Nice,1,1,1.29292,1.0655,0.3899,0.3489,0.2612,D
2018,10846,2019-01-19,Monaco,Strasbourg,1,5,0.918151,1.61975,0.1771,0.2622,0.5607,A
2018,10847,2019-01-19,Nimes,Toulouse,0,1,0.847241,1.07431,0.2723,0.3092,0.4185,A
2018,10843,2019-01-20,Rennes,Montpellier,0,0,0.768295,0.339628,0.4369,0.4152,0.1479,D
2018,10848,2019-01-20,Angers,Nantes,1,0,0.198071,1.14784,0.0475,0.2688,0.6837,H
2018,10849,2019-01-20,Bordeaux,Dijon,1,0,1.56037,0.894868,0.5609,0.2746,0.1645,H
2018,10850,2019-01-20,Caen,Marseille,0,1,0.404407,1.08581,0.1231,0.315,0.5619,A
2018,10852,2019-01-20,Saint-Etienne,Lyon,1,2,3.05035,2.23643,0.579,0.2002,0.2208,A
2018,10837,2019-01-23,Nimes,Angers,3,1,1.76356,1.58031,0.3966,0.2806,0.3228,H
2018,10855,2019-01-25,Marseille,Lille,1,2,0.607173,2.01792,0.0645,0.1601,0.7754,A
2018,10856,2019-01-26,Guingamp,Reims,0,1,0.444499,0.658018,0.2034,0.4284,0.3682,A
2018,10857,2019-01-26,Dijon,Monaco,2,0,1.41651,1.36922,0.3795,0.2756,0.3449,H
2018,10858,2019-01-26,Strasbourg,Bordeaux,1,0,0.540997,0.576044,0.2783,0.4345,0.2872,H
2018,10860,2019-01-26,Nice,Nimes,2,0,1.72169,0.689154,0.6607,0.2246,0.1147,H
2018,10853,2019-01-27,Amiens,Lyon,0,1,0.667387,1.24157,0.1904,0.3033,0.5063,A
2018,10854,2019-01-27,Montpellier,Caen,2,0,1.19659,0.282962,0.6424,0.2808,0.0768,H
2018,10859,2019-01-27,Paris Saint Germain,Rennes,4,1,2.8581,0.997637,0.7991,0.1369,0.064,H
2018,10862,2019-01-27,Toulouse,Angers,0,0,1.46217,1.33953,0.3722,0.335,0.2928,D
2018,10861,2019-01-30,Nantes,Saint-Etienne,1,1,1.65404,1.82915,0.2919,0.3106,0.3975,D
2018,10864,2019-02-01,Lille,Nice,4,0,2.38345,0.504972,0.8503,0.1152,0.0345,H
2018,10865,2019-02-02,Monaco,Toulouse,2,1,1.25415,0.842206,0.4572,0.309,0.2338,H
2018,10867,2019-02-02,Reims,Marseille,2,1,0.600538,1.03793,0.1893,0.334,0.4767,H
2018,10868,2019-02-02,Rennes,Amiens,1,0,1.92834,0.681757,0.7196,0.1991,0.0813,H
2018,10871,2019-02-02,Angers,Dijon,1,0,1.37192,0.359499,0.6687,0.2516,0.0797,H
2018,10866,2019-02-03,Nimes,Montpellier,1,1,0.489402,0.733137,0.2083,0.405,0.3867,D
2018,10872,2019-02-03,Lyon,Paris Saint Germain,2,1,3.40975,1.61516,0.7708,0.1335,0.0957,H
2018,10818,2019-02-05,Marseille,Bordeaux,1,0,2.12989,0.186472,0.8736,0.1081,0.0183,H
2018,10874,2019-02-08,Dijon,Marseille,1,2,1.22126,1.26922,0.3268,0.3218,0.3514,A
2018,10873,2019-02-09,Amiens,Caen,1,0,0.830006,0.385482,0.4595,0.3845,0.156,H
2018,10879,2019-02-09,Paris Saint Germain,Bordeaux,1,0,2.4199,0.862585,0.7796,0.1566,0.0638,H
2018,10880,2019-02-09,Strasbourg,Angers,1,2,1.12166,0.749397,0.45,0.3204,0.2296,A
2018,10875,2019-02-10,Guingamp,Lille,0,2,0.590045,1.33904,0.0987,0.3044,0.5969,A
2018,10876,2019-02-10,Montpellier,Monaco,2,2,1.59524,1.60449,0.3591,0.2894,0.3515,D
2018,10877,2019-02-10,Nantes,Nimes,2,4,1.83127,1.85321,0.3404,0.2845,0.3751,A
2018,10878,2019-02-10,Nice,Lyon,1,0,1.5374,2.46454,0.1782,0.2226,0.5992,H
2018,10881,2019-02-10,Rennes,Saint-Etienne,3,0,2.78276,1.45439,0.726,0.1795,0.0945,H
2018,10882,2019-02-10,Toulouse,Reims,1,1,0.608776,1.41872,0.1074,0.2475,0.6451,D
2018,10863,2019-02-13,Caen,Nantes,0,1,0.460068,1.32567,0.0889,0.2587,0.6524,A
2018,10869,2019-02-13,Saint-Etienne,Strasbourg,2,1,1.73664,0.83933,0.6365,0.2547,0.1088,H
2018,10887,2019-02-15,Lyon,Guingamp,2,1,1.57413,1.94709,0.2644,0.2731,0.4625,H
2018,10890,2019-02-15,Nimes,Dijon,2,0,0.947223,0.847362,0.3559,0.3405,0.3036,H
2018,10883,2019-02-16,Angers,Nice,3,0,2.26785,0.484624,0.8476,0.1168,0.0356,H
2018,10888,2019-02-16,Marseille,Amiens,2,0,1.28871,1.0545,0.3917,0.3311,0.2772,H
2018,10889,2019-02-16,Monaco,Nantes,1,0,1.20791,0.209983,0.6927,0.2564,0.0509,H
2018,10884,2019-02-17,Bordeaux,Toulouse,2,1,0.793463,1.86337,0.1108,0.2286,0.6606,H
2018,10885,2019-02-17,Caen,Strasbourg,0,0,0.52674,0.629274,0.2577,0.431,0.3113,D
2018,10886,2019-02-17,Lille,Montpellier,0,0,1.04707,0.654043,0.4558,0.347,0.1972,D
2018,10891,2019-02-17,Reims,Rennes,2,0,0.665264,0.395172,0.3957,0.4246,0.1797,H
2018,10892,2019-02-17,Saint-Etienne,Paris Saint Germain,0,1,0.565414,1.25551,0.1504,0.2886,0.561,A
2018,10808,2019-02-20,Paris Saint Germain,Montpellier,5,1,3.81116,1.01559,0.9061,0.0633,0.0306,H
2018,10870,2019-02-20,Bordeaux,Guingamp,0,0,1.3793,1.2912,0.3771,0.3066,0.3163,D
2018,10894,2019-02-22,Dijon,Saint-Etienne,0,1,0.322809,0.990687,0.1083,0.3459,0.5458,A
